datetime,open,high,low,close,volume,hold,symbol,period
2025-09-11 14:08:00,80040.0,80040.0,80040.0,80040.0,20,15860,CU2509,1
2025-09-11 14:09:00,80040.0,80040.0,80040.0,80040.0,215,15670,CU2509,1
2025-09-11 14:10:00,80040.0,80040.0,80010.0,80030.0,160,15560,CU2509,1
2025-09-11 14:11:00,80030.0,80040.0,80020.0,80030.0,65,15510,CU2509,1
2025-09-11 14:12:00,80040.0,80060.0,80040.0,80060.0,15,15485,CU2509,1
2025-09-11 14:14:00,80060.0,80060.0,80060.0,80060.0,20,15465,CU2509,1
2025-09-11 14:15:00,80060.0,80060.0,80060.0,80060.0,20,15445,CU2509,1
2025-09-11 14:16:00,80060.0,80060.0,80040.0,80050.0,120,15305,CU2509,1
2025-09-11 14:17:00,80050.0,80050.0,80040.0,80050.0,30,15245,CU2509,1
2025-09-11 14:18:00,80050.0,80050.0,80040.0,80050.0,85,15190,CU2509,1
2025-09-11 14:19:00,80050.0,80050.0,80050.0,80050.0,185,15005,CU2509,1
2025-09-11 14:20:00,80050.0,80050.0,80050.0,80050.0,170,14840,CU2509,1
2025-09-11 14:21:00,80050.0,80070.0,80050.0,80070.0,35,14815,CU2509,1
2025-09-11 14:22:00,80070.0,80080.0,80070.0,80080.0,25,14770,CU2509,1
2025-09-11 14:23:00,80080.0,80110.0,80080.0,80110.0,75,14695,CU2509,1
2025-09-11 14:24:00,80110.0,80110.0,80100.0,80110.0,45,14685,CU2509,1
2025-09-11 14:25:00,80110.0,80110.0,80100.0,80100.0,5,14680,CU2509,1
2025-09-11 14:26:00,80100.0,80100.0,80090.0,80090.0,5,14680,CU2509,1
2025-09-11 14:27:00,80090.0,80100.0,80090.0,80100.0,50,14650,CU2509,1
2025-09-11 14:28:00,80100.0,80100.0,80080.0,80090.0,10,14630,CU2509,1
2025-09-11 14:29:00,80090.0,80090.0,80090.0,80090.0,20,14610,CU2509,1
2025-09-11 14:30:00,80100.0,80100.0,80090.0,80090.0,40,14605,CU2509,1
2025-09-11 14:31:00,80090.0,80120.0,80090.0,80120.0,40,14590,CU2509,1
2025-09-11 14:32:00,80110.0,80120.0,80110.0,80120.0,10,14580,CU2509,1
2025-09-11 14:33:00,80120.0,80140.0,80120.0,80140.0,45,14540,CU2509,1
2025-09-11 14:34:00,80140.0,80150.0,80130.0,80150.0,25,14520,CU2509,1
2025-09-11 14:35:00,80150.0,80150.0,80140.0,80140.0,5,14495,CU2509,1
2025-09-11 14:36:00,80140.0,80140.0,80140.0,80140.0,0,14495,CU2509,1
2025-09-11 14:37:00,80140.0,80170.0,80140.0,80170.0,40,14455,CU2509,1
2025-09-11 14:38:00,80170.0,80170.0,80160.0,80160.0,20,14435,CU2509,1
2025-09-11 14:39:00,80160.0,80170.0,80160.0,80170.0,50,14450,CU2509,1
2025-09-11 14:40:00,80170.0,80190.0,80170.0,80190.0,30,14425,CU2509,1
2025-09-11 14:41:00,80190.0,80200.0,80180.0,80200.0,15,14420,CU2509,1
2025-09-11 14:42:00,80200.0,80200.0,80180.0,80180.0,25,14395,CU2509,1
2025-09-11 14:43:00,80180.0,80180.0,80160.0,80170.0,15,14380,CU2509,1
2025-09-11 14:44:00,80170.0,80170.0,80160.0,80170.0,5,14360,CU2509,1
2025-09-11 14:45:00,80170.0,80170.0,80160.0,80160.0,15,14350,CU2509,1
2025-09-11 14:46:00,80160.0,80160.0,80140.0,80140.0,35,14300,CU2509,1
2025-09-11 14:47:00,80140.0,80150.0,80140.0,80150.0,20,14280,CU2509,1
2025-09-11 14:48:00,80150.0,80150.0,80150.0,80150.0,0,14280,CU2509,1
2025-09-11 14:49:00,80150.0,80160.0,80150.0,80160.0,10,14270,CU2509,1
2025-09-11 14:50:00,80150.0,80150.0,80150.0,80150.0,45,14235,CU2509,1
2025-09-11 14:51:00,80150.0,80150.0,80140.0,80140.0,30,14215,CU2509,1
2025-09-11 14:52:00,80140.0,80180.0,80140.0,80180.0,10,14210,CU2509,1
2025-09-11 14:53:00,80200.0,80200.0,80200.0,80200.0,5,14205,CU2509,1
2025-09-11 14:54:00,80200.0,80200.0,80200.0,80200.0,15,14200,CU2509,1
2025-09-11 14:55:00,80200.0,80210.0,80200.0,80210.0,20,14185,CU2509,1
2025-09-11 14:56:00,80210.0,80210.0,80190.0,80190.0,35,14160,CU2509,1
2025-09-11 14:57:00,80190.0,80190.0,80180.0,80180.0,15,14145,CU2509,1
2025-09-11 14:58:00,80180.0,80180.0,80170.0,80170.0,5,14140,CU2509,1
2025-09-11 14:59:00,80170.0,80170.0,80170.0,80170.0,0,14140,CU2509,1
2025-09-11 15:00:00,80170.0,80180.0,80160.0,80160.0,10,14135,CU2509,1
2025-09-11 21:04:00,80320.0,80320.0,80320.0,80320.0,5,14130,CU2509,1
2025-09-11 21:05:00,80300.0,80320.0,80300.0,80300.0,10,14120,CU2509,1
2025-09-11 21:06:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:07:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:08:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:09:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:10:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:11:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:12:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:13:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:14:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:15:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:16:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:17:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:18:00,80300.0,80300.0,80300.0,80300.0,0,14120,CU2509,1
2025-09-11 21:19:00,80180.0,80300.0,80180.0,80180.0,10,14110,CU2509,1
2025-09-11 21:20:00,80180.0,80220.0,80180.0,80220.0,30,14080,CU2509,1
2025-09-11 21:21:00,80220.0,80220.0,80220.0,80220.0,0,14080,CU2509,1
2025-09-11 21:22:00,80220.0,80220.0,80220.0,80220.0,0,14080,CU2509,1
2025-09-11 21:23:00,80220.0,80220.0,80220.0,80220.0,0,14080,CU2509,1
2025-09-11 21:24:00,80230.0,80230.0,80220.0,80230.0,5,14075,CU2509,1
2025-09-11 21:25:00,80230.0,80230.0,80230.0,80230.0,0,14075,CU2509,1
2025-09-11 21:26:00,80180.0,80230.0,80180.0,80180.0,10,14065,CU2509,1
2025-09-11 21:27:00,80180.0,80180.0,80180.0,80180.0,35,14030,CU2509,1
2025-09-11 21:28:00,80150.0,80180.0,80150.0,80150.0,15,14020,CU2509,1
2025-09-11 21:29:00,80160.0,80160.0,80150.0,80160.0,25,13995,CU2509,1
2025-09-11 21:30:00,80160.0,80160.0,80130.0,80130.0,5,13990,CU2509,1
2025-09-11 21:31:00,80130.0,80130.0,80130.0,80130.0,0,13990,CU2509,1
2025-09-11 21:32:00,80130.0,80130.0,80130.0,80130.0,0,13990,CU2509,1
2025-09-11 21:33:00,80130.0,80160.0,80130.0,80160.0,10,13980,CU2509,1
2025-09-11 21:34:00,80160.0,80160.0,80160.0,80160.0,0,13980,CU2509,1
2025-09-11 21:35:00,80160.0,80160.0,80160.0,80160.0,0,13980,CU2509,1
2025-09-11 21:36:00,80160.0,80160.0,80130.0,80130.0,20,13960,CU2509,1
2025-09-11 21:37:00,80130.0,80130.0,80130.0,80130.0,0,13960,CU2509,1
2025-09-11 21:38:00,80130.0,80130.0,80090.0,80090.0,40,13920,CU2509,1
2025-09-11 21:39:00,80090.0,80090.0,80090.0,80090.0,0,13920,CU2509,1
2025-09-11 21:40:00,80090.0,80090.0,80090.0,80090.0,0,13920,CU2509,1
2025-09-11 21:41:00,80090.0,80090.0,80090.0,80090.0,0,13920,CU2509,1
2025-09-11 21:42:00,80160.0,80160.0,80090.0,80160.0,5,13920,CU2509,1
2025-09-11 21:43:00,80160.0,80170.0,80160.0,80170.0,5,13915,CU2509,1
2025-09-11 21:44:00,80170.0,80170.0,80170.0,80170.0,0,13915,CU2509,1
2025-09-11 21:45:00,80170.0,80180.0,80170.0,80180.0,10,13905,CU2509,1
2025-09-11 21:46:00,80180.0,80180.0,80180.0,80180.0,0,13905,CU2509,1
2025-09-11 21:47:00,80180.0,80180.0,80180.0,80180.0,0,13905,CU2509,1
2025-09-11 21:48:00,80180.0,80180.0,80180.0,80180.0,0,13905,CU2509,1
2025-09-11 21:49:00,80180.0,80180.0,80180.0,80180.0,0,13905,CU2509,1
2025-09-11 21:50:00,80180.0,80180.0,80180.0,80180.0,0,13905,CU2509,1
2025-09-11 21:51:00,80180.0,80180.0,80180.0,80180.0,0,13905,CU2509,1
2025-09-11 21:52:00,80180.0,80180.0,80180.0,80180.0,0,13905,CU2509,1
2025-09-11 21:53:00,80180.0,80180.0,80180.0,80180.0,0,13905,CU2509,1
2025-09-11 21:54:00,80180.0,80180.0,80180.0,80180.0,0,13905,CU2509,1
2025-09-11 21:55:00,80180.0,80180.0,80180.0,80180.0,0,13905,CU2509,1
2025-09-11 21:56:00,80180.0,80280.0,80180.0,80280.0,5,13900,CU2509,1
2025-09-11 21:57:00,80280.0,80280.0,80280.0,80280.0,0,13900,CU2509,1
2025-09-11 21:58:00,80280.0,80280.0,80280.0,80280.0,0,13900,CU2509,1
2025-09-11 21:59:00,80280.0,80280.0,80280.0,80280.0,10,13890,CU2509,1
2025-09-11 22:00:00,80280.0,80280.0,80280.0,80280.0,0,13890,CU2509,1
2025-09-11 22:01:00,80280.0,80280.0,80280.0,80280.0,0,13890,CU2509,1
2025-09-11 22:02:00,80350.0,80350.0,80280.0,80350.0,15,13880,CU2509,1
2025-09-11 22:03:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:04:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:05:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:06:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:07:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:08:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:09:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:10:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:11:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:12:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:13:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:14:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:15:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:16:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:17:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:18:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:19:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:20:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:21:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:22:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:23:00,80350.0,80350.0,80350.0,80350.0,0,13880,CU2509,1
2025-09-11 22:24:00,80350.0,80380.0,80350.0,80380.0,15,13865,CU2509,1
2025-09-11 22:25:00,80410.0,80410.0,80410.0,80410.0,15,13840,CU2509,1
2025-09-11 22:26:00,80410.0,80410.0,80410.0,80410.0,0,13840,CU2509,1
2025-09-11 22:27:00,80410.0,80410.0,80410.0,80410.0,0,13840,CU2509,1
